,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2019/2/11,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/12,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/13,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/14,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/15,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/18,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/19,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/20,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/21,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/22,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/25,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/26,50ETF购2018年12月2.45A,认购,2.45,2018/12/26 0:00,0.0001
2019/2/1,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
2019/2/11,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
2019/2/12,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
2019/2/13,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
2019/2/14,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
2019/2/15,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
2019/2/18,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
2019/2/19,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
2019/2/20,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
2019/2/21,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
2019/2/22,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
2019/2/25,50ETF购2018年12月2.50A,认购,2.5,2018/12/26 0:00,0.0001
